,Ward,2_choose_the_mode_of_transport,3_what_is_the_distance_of_airport_from_the_ward_morning_peak,4_time_taken_to_reach_the_airport_morning_peak,5_what_is_the_cost_required_to_reach_the_airport_morning_peak,6_what_is_the_distance_of_north_railway_station_the_ward_morning_peak,7_time_taken_to_reach_north_railway_station_from_the_ward_morning_peak,8_what_is_the_cost_required_to_reach_north_railway_station_from_the_ward_morning_peak,9_what_is_the_distance_of_south_railway_station_from_the_ward_morning_peak,10_time_taken_to_reach_the_south_railway_station_from_the_ward_morning_peak,11_what_is_the_cost_required_to_reach_south_railway_station_from_the_ward_morning_peak,12_what_is_the_distance_to_any_other_railway_station_from_the_ward_morning_peak,13_time_taken_to_reach_any_other_railway_station_from_the_ward_morning_peak,14_what_is_the_cost_required_to_reach_any_other_railway_station_from_the_ward_morning_peak,15_what_is_the_distance_of_airport_from_the_ward_non_peak,16_time_taken_to_reach_the_airport_non_peak,17_what_is_the_cost_required_to_reach_the_airport_non_peak,18_what_is_the_distance_of_railway_station_north_from_the_ward_non_peak,19_time_taken_to_reach_railway_station_north_from_the_ward_non_peak,20_what_is_the_cost_required_to_reach_railway_station_north_from_the_ward_non_peak,21_what_is_the_distance_of_railway_station_south_from_the_ward_non_peak,22_time_taken_to_reach_the_north_from_south_from_the_ward_non_peak,23_what_is_the_cost_required_to_reach_railway_station_south_from_the_ward_non_peak,24_what_is_the_distance_of_railway_station_other_from_the_ward_non_peak,25_time_taken_to_reach_the_north_from_other_from_the_ward_non_peak,26_what_is_the_cost_required_to_reach_railway_station_other_from_the_ward_non_peak,27_what_is_the_distance_of_airport_from_the_ward_evening_peak,28_time_taken_to_reach_the_airport_evening_peak,29_what_is_the_cost_required_to_reach_the_airport_evening_peak,30_what_is_the_distance_of_railway_station_north_from_the_ward_evening_peak,31_time_taken_to_reach_railway_station_north_from_the_ward_evening_peak,32_what_is_the_cost_required_to_reach_railway_station_north_from_the_ward_evening_peak,33_what_is_the_distance_of_railway_station_south_from_the_ward_evening_peak,34_time_taken_to_reach_the_north_from_south_from_the_ward_evening_peak,35_what_is_the_cost_required_to_reach_railway_station_south_from_the_ward_evening_peak,36_what_is_the_distance_of_railway_station_other_from_the_ward_evening_peak,37_time_taken_to_reach_the_north_from_other_from_the_ward_evening_peak,38_what_is_the_cost_required_to_reach_railway_station_other_from_the_ward_evening_peak,39_what_is_the_distance_of_airport_from_the_ward_after_10,40_time_taken_to_reach_the_airport_after_10,41_what_is_the_cost_required_to_reach_the_airport_after_10,42_what_is_the_distance_of_railway_station_north_from_the_ward_after_10,43_time_taken_to_reach_railway_station_north_from_the_ward_after_10,44_what_is_the_cost_required_to_reach_railway_station_north_from_the_ward_after_10,45_what_is_the_distance_of_railway_station_south_from_the_ward_after_10,46_time_taken_to_reach_the_north_from_south_from_the_ward_after_10,47_what_is_the_cost_required_to_reach_railway_station_south_from_the_ward_after_10,48_what_is_the_distance_of_railway_station_other_from_the_ward_after_10,49_time_taken_to_reach_the_north_from_other_from_the_ward_after_10,50_what_is_the_cost_required_to_reach_railway_station_other_from_the_ward,source_sheet,ward
10,40,Private,25,00:00.0,650,5,00:00.0,150,6.5,00:00.0,180,7,00:00.0,120,25,00:00.0,580,5,00:00.0,120,6.5,00:00.0,150,1,00:00.0,120,25,00:00.0,650,5,00:00.0,150,6.5,00:00.0,180,1,00:00.0,120,25,00:00.0,750,5,00:00.0,160,6.5,00:00.0,180,1,00:00.0,120,Transportation Best Way to R...,40
11,28,Private,37,00:00.0,1800,8.8,00:00.0,550,7.5,00:00.0,600,,,,37,00:00.0,1300,8.8,00:00.0,400,7.5,00:00.0,450,,,,37,00:00.0,2000,8.8,00:00.0,650,7.5,00:00.0,700,,,,37,00:00.0,1200,8.8,00:00.0,450,7.5,00:00.0,350,,,,Transportation Best Way to R...,28
12,26,Private,36,00:00.0,1650,10,00:00.0,600,8.2,00:00.0,650,,,,36,00:00.0,1250,10,00:00.0,450,8.2,00:00.0,500,,,,36,00:00.0,1850,10,00:00.0,700,8.2,00:00.0,750,,,,36,00:00.0,1100,10,00:00.0,400,8.2,00:00.0,420,,,,Transportation Best Way to R...,26
13,1,Private,35,00:00.0,1800,7.5,00:00.0,550,7.2,00:00.0,600,,,,35,00:00.0,1300,7.5,00:00.0,400,7.2,00:00.0,450,,,,35,00:00.0,2000,7.5,00:00.0,650,7.2,00:00.0,700,,,,35,00:00.0,1200,7.5,00:00.0,450,7.2,00:00.0,350,,,,Transportation Best Way to R...,1
14,60,Public,32.7,00:00.0,80,6.5,00:00.0,13,4.2,00:00.0,10,,,,32.7,00:00.0,80,6.5,00:00.0,13,4.5,00:00.0,10,,,,32.7,00:00.0,80,6.5,00:00.0,13,4.5,00:00.0,10,,,,32.7,00:00.0,100,6.5,00:00.0,13,4.5,00:00.0,10,,,,Transportation Best Way to R...,60
15,73,Public,26,00:00.0,80,2.8,00:00.0,10,4.9,00:00.0,13,,,,26,00:00.0,80,2.9,00:00.0,10,4.9,00:00.0,13,,,,26,00:00.0,80,2.8,00:00.0,10,4.9,00:00.0,13,,,,26,00:00.0,90,2.8,00:00.0,10,4.9,00:00.0,13,,,,Transportation Best Way to R...,73
16,73,Private,26,00:00.0,900,2.8,00:00.0,100,4.9,00:00.0,140,,,,26,00:00.0,850,2.8,00:00.0,100,4.9,00:00.0,150,,,,26,00:00.0,1000,2.8,00:00.0,100,4.9,00:00.0,160,,,,26,00:00.0,800,2.8,00:00.0,130,4.9,00:00.0,170,,,,Transportation Best Way to R...,73
17,74,Public,27,00:00.0,90,3.5,00:00.0,15,6,00:00.0,20,,,,27,00:00.0,90,3.5,00:00.0,15,6,00:00.0,20,,,,27,00:00.0,90,3.5,00:00.0,15,6,00:00.0,20,,,,,,,,,,,,,,,,Transportation Best Way to R...,74
18,31,Public,27,00:00.0,100,5,00:00.0,20,7.5,00:00.0,30,,,,27,00:00.0,80,5,00:00.0,20,7.5,00:00.0,30,,,,27,00:00.0,90,5,00:00.0,20,7.5,00:00.0,30,,,,27,00:00.0,80,5,00:00.0,20,7.5,00:00.0,30,,,,Transportation Best Way to R...,31
19,31,Private,27,00:00.0,700,5,00:00.0,200,7.5,00:00.0,250,,,,27,00:00.0,700,5,00:00.0,200,7.5,00:00.0,250,,,,27,00:00.0,800,5,00:00.0,250,7.5,00:00.0,300,,,,27,00:00.0,600,5,00:00.0,220,7.5,00:00.0,280,,,,Transportation Best Way to R...,31
20,74,Private,27,00:00.0,900,3.5,00:00.0,150,6,00:00.0,200,,,,27,00:00.0,700,3.5,00:00.0,100,6,00:00.0,170,,,,27,00:00.0,1200,3.5,00:00.0,130,6,00:00.0,180,,,,27,00:00.0,1000,3.5,00:00.0,100,6,00:00.0,200,,,,Transportation Best Way to R...,74
21,12,Public,38.5,00:00.0,84,10.4,00:00.0,18,8,00:00.0,14,13.1,00:00.0,55,38.5,00:00.0,80,10.4,00:00.0,18,8,00:00.0,14,13.1,00:00.0,55,38.5,00:00.0,84,10.4,00:00.0,18,8,00:00.0,14,13.1,00:00.0,55,38.5,00:00.0,95,10.4,00:00.0,25,8,00:00.0,18,13.1,00:00.0,65,Transportation Best Way to R...,12
22,12,Private,38.5,00:00.0,1600,10.4,00:00.0,290,8,00:00.0,220,13.1,00:00.0,280,38.5,00:00.0,1578,10.4,00:00.0,270,8,00:00.0,200,13.1,00:00.0,270,38.5,00:00.0,1600,10.4,00:00.0,310,8,00:00.0,225,13.1,00:00.0,290,38.5,00:00.0,1780,10.4,00:00.0,320,8,00:00.0,240,13.1,00:00.0,310,Transportation Best Way to R...,12
23,10,Public,38.7,00:00.0,88,10.5,00:00.0,18,7.8,00:00.0,15,13.4,00:00.0,56,38.7,00:00.0,80,10.5,00:00.0,18,7.8,00:00.0,15,13.4,00:00.0,56,38.7,00:00.0,90,10.5,00:00.0,20,7.8,00:00.0,15,13.4,00:00.0,56,38.7,00:00.0,100,10.5,00:00.0,18,7.8,00:00.0,15,13.4,00:00.0,32,Transportation Best Way to R...,10
24,59,Private,32.9,00:00.0,1080,6.9,00:00.0,190,4.5,00:00.0,150,,,,32.9,00:00.0,989,6.9,00:00.0,150,4.5,00:00.0,120,,,,32.9,00:00.0,1267,6.9,00:00.0,200,4.5,00:00.0,180,,,,32.9,00:00.0,1129,6.9,00:00.0,170,4.5,00:00.0,140,,,,Transportation Best Way to R...,59
25,41,Private,24,00:00.0,600,5.5,00:00.0,100,9.4,00:00.0,180,,,,24,00:00.0,500,5.5,00:00.0,120,9.4,00:00.0,180,,,,24,00:00.0,600,5.5,00:00.0,120,9.4,00:00.0,180,,,,24,00:00.0,700,5.5,00:00.0,220,9.4,00:00.0,280,,,,Transportation Best Way to R...,41
26,34,Private,25,00:00.0,800,5,00:00.0,100,8,00:00.0,130,,,,25,00:00.0,700,5,00:00.0,80,8,00:00.0,110,,,,25,00:00.0,800,5,00:00.0,150,7.5,00:00.0,150,,,,25,00:00.0,800,5,00:00.0,120,7.5,00:00.0,180,,,,Transportation Best Way to R...,34
27,59,Public,35.6,00:00.0,250,35,00:00.0,280,36.4,00:00.0,,,,,35.6,00:00.0,250,36.4,00:00.0,,35,00:00.0,,,,,35.6,00:00.0,300,36.4,00:00.0,,35,00:00.0,,,,,35.6,00:00.0,250,36.4,00:00.0,280,35,00:00.0,250,,,,Transportation Best Way to R...,59
28,10,Private,38.7,00:00.0,1219,10.2,00:00.0,389,7.8,00:00.0,230,13,00:00.0,289,38.7,00:00.0,1210,10.2,00:00.0,370,7.8,00:00.0,210,13,00:00.0,270,38.7,00:00.0,1220,10.2,00:00.0,400,7.8,00:00.0,260,13,00:00.0,300,38.7,00:00.0,1240,10.2,00:00.0,420,7.8,00:00.0,300,13,00:00.0,320,Transportation Best Way to R...,10
29,9,Public,39.5,00:00.0,86,11.3,00:00.0,19,8.6,00:00.0,16,13.5,00:00.0,31,39.5,00:00.0,80,11.3,00:00.0,20,8.6,00:00.0,16,13.5,00:00.0,57,39.5,00:00.0,90,11.3,00:00.0,20,8.6,00:00.0,16,13.5,00:00.0,57,39.5,00:00.0,90,11.3,00:00.0,20,8.6,00:00.0,16,13.5,00:00.0,34,Transportation Best Way to R...,9
30,9,Private,39.5,00:00.0,1159,11.3,00:00.0,279,8.6,00:00.0,239,13.5,00:00.0,319.95,39.5,00:00.0,1149,11.3,00:00.0,279,8.6,00:00.0,239,13.5,00:00.0,319,39.5,00:00.0,1189,11.3,00:00.0,300,8.6,00:00.0,259,14.2,00:00.0,340,39.5,00:00.0,1189,11.3,00:00.0,279,8.8,00:00.0,249,14.2,00:00.0,319,Transportation Best Way to R...,9
31,41,Public,24,00:00.0,180,5.5,00:00.0,30,9.8,00:00.0,60,,,,24,00:00.0,180,5.5,00:00.0,30,9.8,00:00.0,60,,,,24,00:00.0,190,5.5,00:00.0,30,9.8,00:00.0,60,,,,24,00:00.0,190,5.5,00:00.0,100,9.8,00:00.0,120,,,,Transportation Best Way to R...,41
32,33,Public,23.3,00:00.0,125,4,00:00.0,100,6.4,00:00.0,140,,,,23.3,00:00.0,100,4,00:00.0,120,6.4,00:00.0,150,,,,23.3,00:00.0,400,4,00:00.0,100,6.4,00:00.0,150,,,,23.3,00:00.0,400,4,00:00.0,100,6.4,00:00.0,100,,,,Transportation Best Way to R...,33
33,20,Public,38,00:00.0,85,11,00:00.0,19,8.9,00:00.0,26,12,00:00.0,56,38,00:00.0,85,11,00:00.0,19,8.9,00:00.0,26,12,00:00.0,56,38,00:00.0,85,11,00:00.0,19,8.9,00:00.0,26,12,00:00.0,56,38,00:00.0,85,11,00:00.0,19,8.9,00:00.0,26,12,00:00.0,56,Transportation Best Way to R...,20
34,13,Private,39,00:00.0,970,11,00:00.0,290,8.8,00:00.0,200,25,00:00.0,240,39.4,00:00.0,886,11.7,00:00.0,255,8.7,00:00.0,205,19,00:00.0,442,39,00:00.0,970,11,00:00.0,290,8.8,00:00.0,200,25,00:00.0,240,40,00:00.0,1250,11,00:00.0,260,9.1,00:00.0,200,23,00:00.0,250,Transportation Best Way to R...,13
35,22,Public,41,00:00.0,90,12,00:00.0,22,9.7,00:00.0,17,15,00:00.0,33,41,00:00.0,90,12,00:00.0,22,9.7,00:00.0,17,15,00:00.0,33,41,00:00.0,90,12,00:00.0,22,9.7,00:00.0,17,15,00:00.0,33,41,00:00.0,90,12,00:00.0,22,9.7,00:00.0,17,15,00:00.0,33,Transportation Best Way to R...,22
36,20,Private,38,00:00.0,1219,11,00:00.0,500,8.4,00:00.0,237,13,00:00.0,229,38,00:00.0,1175,11,00:00.0,485,8.4,00:00.0,225,13,00:00.0,218,38,00:00.0,1200,11,00:00.0,513,8.4,00:00.0,248,13,00:00.0,226,38,00:00.0,1205,11,00:00.0,509,8.4,00:00.0,237,13,00:00.0,234,Transportation Best Way to R...,20
37,22,Private,13,00:00.0,900,1.9,00:00.0,150,4.6,00:00.0,170,12,00:00.0,290,,,,,,,,,,,,,13,00:00.0,900,1.9,00:00.0,150,4.6,00:00.0,150,12,00:00.0,290,,,,,,,,,,,,,Transportation Best Way to R...,22
38,13,Public,39,00:00.0,88,11,00:00.0,,8.8,00:00.0,,25,00:00.0,,25,00:00.0,89,11.4,00:00.0,18,4.3,00:00.0,13,11,00:00.0,19,13,00:00.0,50,11.5,00:00.0,50,9,00:00.0,60,14,00:00.0,65,39.8,00:00.0,94,11.4,00:00.0,29,9,00:00.0,20,14,00:00.0,56,Transportation Best Way to R...,13
